ticker,cluster_id,weight,mean_ret,std_ret
LPB,1,0.5026347885912364,0.0020064961126895,0.0259683418219629
SHB,1,0.03178804566522317,0.0014135096661181,0.0272918359946289
STB,1,-5.845649173324363e-20,0.0010879692060043,0.0253174987635979
VPB,1,-6.266187325517179e-20,0.0010259795280099,0.0233195460669999
MBB,1,-7.167510574143104e-20,0.000925594672117,0.020797631477764
HDB,1,-7.219974789965786e-20,0.0010472670225615,0.0220445182111655
TPB,1,-7.32412716845745e-20,0.0007356231652843,0.0219321135858716
VIB,1,-7.661300178449259e-20,0.0010466324520716,0.021738249996237
ACB,1,-7.946423957540147e-20,0.0009026513267562,0.0189664722703982
CTG,1,-8.012128346259453e-20,0.0008616500947796,0.022310609474143
TCB,1,-8.773310819326924e-20,0.0007662031866571,0.0222319935760838
BID,1,-1.1413497188147047e-19,0.0002352647758706,0.0225246799514708
DGC,2,0.4026569989182301,0.0017897157863893,0.0258591642815066
FPT,2,0.0629201668253099,0.0010542189761877,0.0181270094852596
GVR,2,-4.779988887287833e-20,0.0007061619190585,0.0293258653471607
SSI,2,-5.345913931038351e-20,0.0011141361312319,0.0276725293619244
HPG,2,-7.713925647438546e-20,0.0008119768496799,0.0222242560339666
BCM,2,-8.643145770636793e-20,0.000610333911261,0.0245376851275519
MSN,2,-8.942363420580483e-20,0.0003607944844563,0.0229296003561097
MWG,2,-1.050789408018013e-19,0.0005383723356973,0.0238753684642338
PLX,2,-1.41697170537115e-19,-0.0002012457531425,0.0207371456059444
GAS,2,-1.4754055811465224e-19,5.450686443697541e-05,0.0206124419005559
VIC,3,-9.355232286439614e-20,0.0006516317470343,0.0219530015673772
VHM,3,-1.0579145830584323e-19,0.0003467815655769,0.0217233563010668
VRE,3,-1.2425424827059327e-19,-2.0316752335358447e-06,0.0248670157656926
VJC,4,-1.0719739695523161e-19,0.0002219189763892,0.0178991849803474
VCB,4,-1.2254809707407717e-19,0.0002655836146489,0.0171294402866801
VNM,4,-1.4512817939673153e-19,-8.169151618303714e-05,0.0152962000815269
SAB,4,-1.7844788811240984e-19,-0.0004457814550748,0.0178154204494184
