ticker,cluster_id,mean_ret,std_ret
ACB,1,0.0009026513267562016,0.018966472270398282
BID,1,0.00023526477587064616,0.02252467995147087
CTG,1,0.0008616500947796942,0.022310609474143085
HDB,1,0.0010472670225615587,0.022044518211165546
LPB,1,0.0020064961126895994,0.02596834182196292
MBB,1,0.0009255946721170244,0.020797631477764075
SHB,1,0.0014135096661181507,0.027291835994628925
STB,1,0.0010879692060043336,0.025317498763597908
TCB,1,0.0007662031866571328,0.022231993576083894
TPB,1,0.0007356231652843242,0.02193211358587163
VIB,1,0.0010466324520716655,0.02173824999623708
VPB,1,0.0010259795280099448,0.023319546066999944
BCM,2,0.000610333911261086,0.024537685127551927
DGC,2,0.001789715786389363,0.025859164281506662
FPT,2,0.0010542189761877836,0.0181270094852596
GAS,2,5.4506864436975414e-05,0.0206124419005559
GVR,2,0.0007061619190585438,0.02932586534716072
HPG,2,0.000811976849679984,0.02222425603396665
MSN,2,0.0003607944844563251,0.022929600356109758
MWG,2,0.0005383723356973834,0.023875368464233812
PLX,2,-0.00020124575314252918,0.020737145605944488
SSI,2,0.001114136131231978,0.027672529361924478
VHM,3,0.0003467815655769673,0.021723356301066893
VIC,3,0.0006516317470343385,0.021953001567377277
VRE,3,-2.0316752335358447e-06,0.024867015765692627
SAB,4,-0.0004457814550748226,0.017815420449418477
VCB,4,0.0002655836146489766,0.017129440286680144
VJC,4,0.0002219189763892255,0.01789918498034746
VNM,4,-8.169151618303714e-05,0.015296200081526922
