k,silhouette_score,n_clusters_realized,min_cluster_size,max_cluster_size,clusters_with_size_lt_3,singleton_clusters,largest_cluster_ratio,is_candidate_balanced,is_shortlist_focus,silhouette_gap_from_best
2,0.061936867683284554,2,12,17,0,0,0.5862068965517241,False,False,0.02442887805863405
3,0.07007789836948183,3,7,12,0,0,0.41379310344827586,True,True,0.01628784737243677
4,0.08613249424613345,4,3,12,0,0,0.41379310344827586,True,True,0.0002332514957851528
5,0.08474796785547796,5,1,12,1,1,0.41379310344827586,False,True,0.001617777886440644
6,0.08449156382449635,6,1,12,2,1,0.41379310344827586,False,True,0.0018741819174222518
7,0.08547014311524168,7,1,12,3,2,0.41379310344827586,False,False,0.0008956026266769279
8,0.0863657457419186,8,1,12,5,3,0.41379310344827586,False,False,0.0
9,0.07595849882304397,9,1,12,5,3,0.41379310344827586,False,False,0.010407246918874638
10,0.07608330818947105,10,1,11,6,4,0.3793103448275862,False,False,0.010282437552447551
