date,n_tickers
2020-01-21,28
2020-02-27,28
2020-03-09,28
2020-03-10,28
2020-03-11,28
2020-03-12,28
2020-03-13,28
2020-03-16,28
2020-07-20,28
2020-07-21,28
2020-07-22,28
2020-07-23,28
2020-07-24,28
2020-07-27,28
2020-08-20,28
2020-08-21,28
2020-08-24,28
2020-08-25,28
2020-08-26,28
2020-08-27,28
2020-08-28,28
2020-10-26,28
2020-10-27,28
2020-10-28,28
2020-10-29,28
2020-10-30,27
2020-11-02,27
2020-11-03,27
2020-11-04,27
2020-11-05,27
2020-11-06,27
2020-11-09,28
2020-12-02,28
2020-12-03,28
2020-12-04,28
2020-12-07,28
2020-12-08,28
2021-10-06,28
2021-10-07,28
2021-10-08,28
